lexemesId	meaning	before	after	comment	ignore	verb_type	number	gender
1	air				0	n/a	n/a	n/a
2	father				0	n/a	n/a	n/a
3	family				0	n/a	n/a	n/a
3	fatherhood				0	n/a	n/a	n/a
3	parentage				0	n/a	n/a	n/a
4	fruit				0	n/a	n/a	n/a
5	perish				0	n/a	n/a	n/a
5	destroy				0	n/a	n/a	n/a
5	lose				0	n/a	n/a	n/a
6	loss				0	n/a	n/a	n/a
6	perdition				0	n/a	n/a	n/a
6	waste				0	n/a	n/a	n/a
7	perished				0	n/a	n/a	n/a
7	lost				0	n/a	n/a	n/a
	perishing				0	n/a	n/a	n/a
8	pipe				0	n/a	n/a	n/a
8	flute				0	n/a	n/a	n/a
9	Abijah			(son of Rehoboam)	0	n/a	n/a	n/a
10	Abijah			(founder of a course of priests)	0	n/a	n/a	n/a
11	Abiud				0	n/a	n/a	n/a
12	Abilene				0	n/a	n/a	n/a
13	Abiathar				0	n/a	n/a	n/a
14	mourner				0	n/a	n/a	n/a
15	grieve				0	n/a	n/a	n/a
15	mourn				0	n/a	n/a	n/a
16	mourning				0	n/a	n/a	n/a
16	grief				0	n/a	n/a	n/a
16	sadness				0	n/a	n/a	n/a
17	stone				0	n/a	n/a	n/a
18	Abraham				0	n/a	n/a	n/a
	Abram				0	n/a	n/a	n/a
19	Agabus				0	n/a	n/a	n/a
20	contest				0	n/a	n/a	n/a
20	conflict				0	n/a	n/a	n/a
21	Augustus				0	n/a	n/a	n/a
22	land	parcel of			0	n/a	n/a	n/a
22	field				0	n/a	n/a	n/a
22	farms				0	n/a	p	n/a
23	water-pot				0	n/a	n/a	n/a
23	pitcher				0	n/a	n/a	n/a
24	servant	hired			0	n/a	n/a	n/a
24	hireling				0	n/a	n/a	n/a
25	hire				0	n/a	n/a	n/a
26	pay				0	n/a	n/a	n/a
26	reward				0	n/a	n/a	n/a
26	recompense				0	n/a	n/a	n/a
27	roof				0	n/a	n/a	n/a
27	housetop				0	n/a	n/a	n/a
28	Agrippa				0	n/a	n/a	n/a
29	letter				0	n/a	n/a	n/a
29	epistle				0	n/a	n/a	n/a
30	Idumaea				0	n/a	n/a	n/a
31	Addi				0	n/a	n/a	n/a
32	Adam				0	n/a	n/a	n/a
33	ear				0	n/a	n/a	n/a
34	threshing-floor				0	n/a	n/a	n/a
35	Adramyttium				0	n/a	n/a	n/a
36	profit				0	n/a	n/a	n/a
36	fruit				0	n/a	n/a	n/a
	result				0	n/a	n/a	n/a
37	Aaron				0	n/a	n/a	n/a
38	O!				0	n/a	n/a	n/a
38	Oh!				0	n/a	n/a	n/a
39	or				0	n/a	n/a	n/a
39	else				0	n/a	n/a	n/a
39	rather than				0	n/a	n/a	n/a
40	agree				0	n/a	n/a	n/a
40	reconciled	be			0	n/a	n/a	n/a
41	unity				0	n/a	n/a	n/a
41	agreement				0	n/a	n/a	n/a
42	abode				0	n/a	n/a	n/a
42	habitation		(mansio)		0	n/a	n/a	n/a
43	Eubulus				0	n/a	n/a	n/a
44	Euodia				0	n/a	n/a	n/a
45	Eutychus				0	n/a	n/a	n/a
46	Eucharist				0	n/a	n/a	n/a
47	craftsman				0	n/a	n/a	n/a
47	artificer				0	n/a	n/a	n/a
47	builder				0	n/a	n/a	n/a
48	craft				0	n/a	n/a	n/a
48	art				0	n/a	n/a	n/a
48	ingenuity				0	n/a	n/a	n/a
49	Oh!				0	n/a	n/a	n/a
49	Ah!				0	n/a	n/a	n/a
50	Gospel				0	n/a	n/a	n/a
51	Eunice				0	n/a	n/a	n/a
52	store-house				0	n/a	n/a	n/a
52	barn				0	n/a	n/a	n/a
