id	lexemeId	language	type	rest
0	1	greek	normal	0
1	20	greek	normal	0
2	22	greek	normal	0
3	36	greek	normal	0
4	46	greek	normal	0
5	50	greek	normal	0
6	53	greek	normal	0
7	57	greek	normal	0
8	61	hebrew	normal	0
9	75	greek	normal	0
10	77	persian	normal	0
11	1797	greek	normal	0
12	97	greek	normal	0
13	106	greek	normal	0
14	119	greek	normal	0
15	122	greek	normal	0
16	161	greek	normal	0
17	191	greek	normal	0
18	198	greek	normal	0
19	202	greek	normal	0
20	203	greek	parenthesied	0
21	205	greek	normal	0
22	206	greek	normal	0
23	207	greek	normal	0
24	208	greek	normal	0
25	209	greek	normal	0
26	211	greek	normal	0
27	212	greek	normal	0
28	215	greek	normal	0
29	216	greek	normal	0
30	217	greek	normal	0
31	218	greek	normal	0
32	223	greek	normal	0
33	224	greek	normal	0
34	226	greek	normal	0
35	227	greek	normal	0
36	228	greek	normal	0
37	230	greek	normal	0
38	231	greek	normal	0
39	238	greek	normal	0
40	240	greek	normal	0
41	246	hebrew	normal	0
42	250	greek	normal	0
43	251	greek	normal	0
44	256	greek	normal	0
45	277	arabic	normal	0
46	286	greek	normal	0
47	287	greek	normal	0
48	296	greek	normal	0
49	309	hebrew	normal	0
50	349	greek	normal	0
51	357	greek	normal	0
52	379	greek	normal	0
53		persian	normal	0
54	424	persian	normal	0
55	560	greek	normal	0
56	578	greek	normal	0
57	607	greek	normal	0
58	669	greek	normal	0
59	696	greek	normal	0
60	697	greek	normal	0
61	774	greek	normal	0
62	775	greek	parenthesied	0
63	777	greek	normal	0
64	795	hebrew	normal	0
65	809	greek	normal	0
66	818	greek	normal	0
67	825	greek	normal	0
68	859	greek	normal	0
69	860	greek	normal	0
70	873	greek	normal	0
71	896	greek	normal	0
72	1215	greek	normal	0
73	1216	greek	normal	0
74	1217	greek	normal	0
75	1223	greek	normal	0
76	1224	greek	normal	0
77	1231	greek	normal	0
78	1233	greek	normal	0
79	1415	greek	normal	0
80	1497	greek	normal	0
81	1514	greek	normal	0
82	1534	greek	normal	0
83	1535	greek	normal	0
84	1590	greek	normal	0
85	1596	greek	normal	0
86	1628	greek	normal	0
87	1649	greek	normal	0
88	1667	latin	normal	0
89	1677	greek	normal	0
90	1683	greek	normal	0
91	1684	greek	normal	0
92	1724	greek	normal	0
93	1796	greek	normal	0
94	1833	greek	normal	0
95	1847	greek	normal	0
96	1886	greek	normal	0
97	1921	greek	normal	0
98	1932	greek	normal	0
99	1936	greek	normal	0
100		hebrew	normal	0
101	1980	greek	normal	0
102	2031	sanskrit	normal	0
103	2043	greek	normal	0
104	2072	armenian	normal	0
105	2087	greek	normal	0
106	2152	greek	normal	0
107		persian	normal	0
108	2450	greek	normal	0
109	2474	greek	normal	0
110	2490	greek	normal	0
111	2503	greek	normal	0
112	2506	greek	normal	0
113	2507	greek	parenthesied	0
114	2542	greek	normal	0
115	2545	greek	normal	0
116	2575	greek	normal	0
117	2580	greek	normal	0
118	2589	greek	normal	0
119	2609	greek	normal	0
120	2613	greek	normal	0
121		persian	normal	0
122		sanskrit	normal	0
123	2655	hebrew	normal	0
124	2719	greek	normal	0
125	2721	greek	normal	0
126	2722	hebrew	normal	0
127	2753	greek	normal	0
128	2762	greek	normal	0
129	2775	greek	normal	0
130	2779	greek	normal	0
131	2803	greek	normal	0
132	2808	greek	normal	0
133	2816	greek	normal	0
134	2817	greek	normal	0
135	2823	greek	normal	0
136	2845	greek	normal	0
137	2851	greek	normal	0
138	2880	greek	normal	0
139		persian	normal	0
140	2954	greek	normal	0
141	2961	greek	normal	0
142	2979	hebrew	normal	0
143		greek	normal	0
144		hebrew	normal	0
145	3344	greek	normal	0
146	1650	latin	normal	0
147	3438	greek	normal	0
148	259	greek	normal	0
149	474	greek	normal	0
150	1232	greek	normal	0
151	1234	greek	normal	0
152	1589	greek	normal	0
153	2886	greek	normal	0
154	1668	greek	normal	0
155	2074	greek	normal	0
156	2469	greek	normal	0
157	2510	greek	normal	0
158	2805	greek	normal	0
159	2850	greek	normal	0
160	2852	greek	normal	0
161	2892	greek	normal	0
162	2958	greek	normal	0
163	1994	greek	normal	0
164	2773	greek	normal	0
165	2491	greek	normal	0
166	2595	greek	normal	0
167	2473	greek	normal	0
168	2801	greek	normal	0
169	2802	greek	normal	0
170	1246	latin	normal	0
