id	rootId	lexeme	seyame	word_type	grammatical_category	rest	first_suffix	second_suffix	third_suffix	prefix	first_vowel	second_vowel	third_vowel	fourth_vowel	num_vowels	radical_type	verbal_conjugation
0	1	>>R	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
1	2	>B>	0	normal	noun	0	n/a	n/a	n/a	n/a	a	o	n/a	n/a	2	bi	n/a
2	2	>BHWT>	0	normal	noun	0	n/a	n/a	uOToA	n/a	a	o	n/a	n/a	2	bi	n/a
3	3	>B>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
4	4	>BD	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
5	4	>BDN>	0	normal	noun	0	oNoA	n/a	n/a	n/a	a	n/a	n/a	n/a	1	tri	peal
6	4	>BJD>	0	normal	participle_adjective	0	n/a	n/a	n/a	n/a	a	i	n/a	n/a	2	tri	peal
7	5	>BWB>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
8	6	>BJ>	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
9	7	>BJ>	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
10	8	>BJWD	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
11	9	>BJLJN>	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
12	10	>BJTR	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
13	11	>BJL>	0	normal	participle_adjective	0	n/a	n/a	n/a	n/a	a	i	n/a	n/a	2	tri	peal
14	11	>BL	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
15	11	>BL>	0	normal	noun	0	n/a	n/a	n/a	n/a	e	n/a	n/a	n/a	1	tri	peal
16	12	>BN>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
17	13	>BRHM	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
18	14	>GBWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
19	15	>GWN>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
20	16	>GWSVWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
21	17	>GWRS>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
22	18	>GN>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
23	19	>GJR>	0	normal	participle_adjective	0	n/a	n/a	n/a	n/a	a	i	n/a	n/a	2	tri	peal
24	19	>GR	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
25	19	>GR>	0	normal	noun	0	n/a	n/a	n/a	n/a	a	n/a	n/a	n/a	1	tri	peal
26	20	>GR>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
27	21	>GRPWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
28	22	>GRT>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
29	23	>DWM	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
30	24	>DJ	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
31	25	>DM	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
32	26	>DN>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
33	27	>DR>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
34	28	>DRMNVWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
35	29	>DC>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
36	30	>HRWN	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
37	31	>W	0	normal	particle	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
38	32	>W	0	normal	particle	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
39	33	>W>	0	parenthesised	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
40	33	>WJWT>	0	normal	noun	0	n/a	n/a	uOToA	n/a	a	n/a	n/a	n/a	1	tri	peal
41	33	>WN>	0	normal	noun	0	NoA	n/a	n/a	n/a	a	n/a	n/a	n/a	1	tri	peal
42	34	>WBWLWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
43	35	>WHDJ>	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
44	36	>WVJKWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
45	37	>WKRSVJ>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
46	38	>WMN>	0	normal	noun	0	n/a	n/a	n/a	n/a	u	n/a	n/a	n/a	1	tri	n/a
47	38	>WMNWT>	0	normal	noun	0	n/a	n/a	uOToA	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
48	39	>WN	0	normal	particle	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
49	40	>WNGLJWN	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
50	41	>WNJQ>	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
51	42	>WYR>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
52	43	>WQJN>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
53	44	>WRBNWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
54	45	>WRD<>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
55	2042	>WRWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	tri	n/a
56	46	>WRQLJDWN	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	six_radical	n/a
57	47	>WRX>	0	normal	noun	1004	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
58	48	>WRJ>	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
59	49	>WRJ>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
60	50	>WRJT>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
61	51	>WRCLM	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
62	52	>WC<N>	0	normal	particle	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
63	53	>ZWVWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
64	54	>ZL	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
65	55	>X>	0	normal	noun	0	n/a	n/a	n/a	n/a	a	n/a	n/a	n/a	1	bi	n/a
66	55	>XWT>	0	normal	noun	0	n/a	n/a	uOToA	n/a	a	n/a	n/a	n/a	1	bi	n/a
67	55	>XJN>	0	normal	adjective	0	oNoA	n/a	n/a	n/a	n/a	o	n/a	n/a	1	bi	n/a
68	55	XT>	0	normal	noun	0	n/a	n/a	n/a	n/a	o	n/a	n/a	n/a	1	bi	n/a
69	56	>WXDN>	0	normal	noun	0	oNoA	n/a	n/a	n/a	u	n/a	n/a	n/a	1	tri	peal
70	56	>XD	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a
71	56	>XJD-KL	0	normal	idiom	0	n/a	n/a	n/a	n/a	a	i	n/a	n/a	2	compound	peal
