id	root	seyame	root_type
0	>>R	0	normal
1	>B	0	normal
2	>B>	0	parethesied
3	>BD	0	normal
4	>BWB>	0	parethesied
5	>BJ>	0	normal
6	>BJ>	0	normal
7	>BJWD	0	normal
8	>BJLJN>	0	normal
9	>BJTR	0	normal
10	>BL	0	normal
11	>BN>	0	parethesied
12	>BRHM	0	normal
13	>GBWS	0	normal
14	>GWN>	0	bracketed
15	>GWSVWS	0	normal
16	>GWRS>	0	bracketed
17	>GN>	0	parethesied
18	>GR	0	normal
19	>GR>	0	parethesied
20	>GRPWS	0	normal
21	>GRT>	0	parethesied
22	>DWM	0	normal
23	>DJ	0	normal
24	>DM	0	normal
25	>DN>	0	parethesied
26	>DR	0	normal
27	>DRMNVWS	0	normal
28	>DC>	0	bracketed
29	>HRWN	0	normal
30	>W	0	normal
31	>W	0	normal
32	>W>	0	normal
33	>WBWLWS	0	normal
34	>WHDJ>	0	normal
35	>WVJKWS	0	normal
36	>WKRSVJ>	0	bracketed
37	>MN	0	parethesied
38	>WN	0	normal
39	>WNGLJWN	0	normal
40	>WNJQ>	0	normal
41	>WYR>	0	parethesied
42	>WQJN>	0	bracketed
43	>WRBNWS	0	normal
44	>WRD<>	0	parethesied
45	>WRWS	0	bracketed
46	>RX	0	parethesied
47	>WRJ>	0	normal
48	>RJ	0	parethesied
49	>WRJT>	0	parethesied
50	>WRCLM	0	normal
51	>WC<N>	0	parethesied
52	>ZWVWS	0	normal
53	>ZL	0	normal
54	>X>	0	normal
55	>XD	0	normal
56	>XZ	0	normal
57	JD	0	normal
58	>JW	0	normal
59	>JWB	0	normal
60	>JZGD>	0	bracketed
61	>JVWRJ>	0	normal
62	>JVLJ>	0	normal
63	>JVLJ>	0	bracketed
64	>JK	0	normal
65	>JK>	0	normal
66	>JKN	0	normal
67	>JL	0	normal
68	>JL>	0	parethesied
69	>JMK>	0	normal
70	>JMM>	0	parethesied
71	>JN	0	normal
72	>JN>	0	normal
73	>JSWN	0	normal
74	>JSXQ	0	normal
75	>JSKR	0	normal
76	>JSR>JL	0	normal
77	>JQ>	0	bracketed
78	>JQNWN	0	normal
79	>JRWPWLJS	0	normal
80	>JRJXW	0	normal
81	>JCJ	0	normal
82	>JT	0	normal
83	>K>J>	0	normal
84	>K>JQWS	0	normal
85	>KDN>	0	bracketed
86	>KWT	0	normal
87	>KJN	0	normal
88	>KL	0	normal
89	>KLWS	0	bracketed
90	>KM	0	normal
91	>KSNJ>	0	bracketed
92	>KP	0	normal
93	>KR	0	parethesied
94	>KT>	0	parethesied
95	>L>	0	normal
96	>L>	0	normal
97	>LH	0	normal
98	>LW	0	normal
99	>LWMWS	0	normal
100	>LWMP>	0	normal
101	>LWRJQWN	0	normal
102	>LJ>	0	normal
