id	lexemeId	cons	voc	seyame	ignore	enclitic	isLexeme	rest	suffix_gender	suffix_person	suffix_number	suffix_contraction	prefix_code	gender	person	number	state	aspect	verbal_conjugation
0	1	>>R	>A>@R	0	0	0	1	1	c/n/a	n/a	s/n/a	n/a	0	c	n/a	s	n/a	n/a	n/a
1	1	B>>R	B^A>>@R	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	1	c	n/a	s	n/a	n/a	n/a
2	1	D>>R	D^A>>@R	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	c	n/a	s	n/a	n/a	n/a
3	1	DL>>R	D^LA>>@R	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	8	c	n/a	s	n/a	n/a	n/a
4	1	W>>R	WA>>@R	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	c	n/a	s	n/a	n/a	n/a
5	2	>B>	>@B#A>	0	0	0	1	1	c/n/a	n/a	s/n/a	n/a	0	m	n/a	s	emphatic	n/a	n/a
6	2	>BH>	>@B#AHE>	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	n/a	p	emphatic	n/a	n/a
7	2	>BHWHJ	>@B#AH@WH#_J	1	0	0	0	1	m	3	s/n/a	suffix	0	m	n/a	p	emphatic	n/a	n/a
8	2	>BHJH	>@B#AHEJH	1	0	0	0	1	f	3	s/n/a	suffix	0	m	n/a	p	emphatic	n/a	n/a
9	2	>BHJHWN	>@B#AH@JHUWN	1	0	0	0	1	m	3	p	suffix	0	m	n/a	p	emphatic	n/a	n/a
10	2	>BHJKWN	>@B#AH@JK^UWN	1	0	0	0	1	m	2	p	suffix	0	m	n/a	p	emphatic	n/a	n/a
11	2	>BHJN	>@B#AH@JN	1	0	0	0	1	c/n/a	1	p	suffix	0	m	n/a	p	emphatic	n/a	n/a
12	2	>BHT>	>@B#AHAT#A>	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	n/a	p	emphatic	n/a	n/a
13	2	>BHTHWN	>@B#AHAT#HUWN	1	0	0	0	1	m	3	p	suffix	0	m	n/a	p	emphatic	n/a	n/a
14	2	>BHTJ	>@B#AHAT#J	1	0	0	0	1	c/n/a	1	s/n/a	suffix	0	m	n/a	p	emphatic	n/a	n/a
15	2	>BHTKWN	>@B#AHAT#K#UWN	1	0	0	0	1	m	2	p	suffix	0	m	n/a	p	emphatic	n/a	n/a
16	2	>BHTN	>@B#AHAT#@N	1	0	0	0	1	c/n/a	1	p	suffix	0	m	n/a	p	emphatic	n/a	n/a
17	2	>BWH	>@B#UWH	0	0	0	0	1	f	3	s/n/a	suffix	0	m	n/a	s	emphatic	n/a	n/a
18	2	>BWHWN	>@B#UWHUWN	0	0	0	0	1	m	3	p	suffix	0	m	n/a	s	emphatic	n/a	n/a
19	2	>BWHJ	>@B#UWH#_J	0	0	0	0	1	m	3	s/n/a	suffix	0	m	n/a	s	emphatic	n/a	n/a
20	2	>BWK	>@B#UWK#	0	0	0	0	1	m	2	s/n/a	suffix	0	m	n/a	s	emphatic	n/a	n/a
21	2	>BWKWN	>@B#UWK#UWN	0	0	0	0	1	m	2	p	suffix	0	m	n/a	s	emphatic	n/a	n/a
22	2	>BWN	>@B#UWN	0	0	0	0	1	c/n/a	1	p	suffix	0	m	n/a	s	emphatic	n/a	n/a
23	2	>BJ	>AB#J	0	0	0	0	1	c/n/a	1	s/n/a	suffix	0	m	n/a	s	emphatic	n/a	n/a
24	2	>B>	>@B#@>	0	0	0	0	3	c/n/a	n/a	s/n/a	n/a	0	m	n/a	s	emphatic	n/a	n/a
25	2	B>B>	B^@>B#A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	1	m	n/a	s	emphatic	n/a	n/a
26	2	B>BJ	B^A>B#J	0	0	0	0	1	c/n/a	1	s/n/a	suffix	1	m	n/a	s	emphatic	n/a	n/a
27	2	D>B>	D^@>B#A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	n/a	s	emphatic	n/a	n/a
28	2	D>BH>	D^@>B#AHE>	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	n/a	p	emphatic	n/a	n/a
29	2	D>BHJ	D^@>B#AH@J	1	0	0	0	1	c/n/a	1	s/n/a	suffix	2	m	n/a	p	emphatic	n/a	n/a
30	2	D>BHJK	D^@>B#AH@JK^	1	0	0	0	1	m	2	s/n/a	suffix	2	m	n/a	p	emphatic	n/a	n/a
31	2	D>BHJKWN	D^@>B#AH@JK^UWN	1	0	0	0	1	m	2	p	suffix	2	m	n/a	p	emphatic	n/a	n/a
32	2	D>BHJN	D^@>B#AH@JN	1	0	0	0	1	c/n/a	1	p	suffix	2	m	n/a	p	emphatic	n/a	n/a
33	2	D>BHT>	D^@>B#AHAT#A>	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	n/a	p	emphatic	n/a	n/a
34	2	D>BHTN	D^@>B#AHAT#@N	1	0	0	0	1	c/n/a	1	p	suffix	2	m	n/a	p	emphatic	n/a	n/a
35	2	D>BWHWN	D^@>B#UWHUWN	0	0	0	0	1	m	3	p	suffix	2	m	n/a	s	emphatic	n/a	n/a
36	2	D>BWHJ	D^@>B#UWH#_J	0	0	0	0	1	m	3	s/n/a	suffix	2	m	n/a	s	emphatic	n/a	n/a
37	2	D>BWKWN	D^@>B#UWK#UWN	0	0	0	0	1	m	2	p	suffix	2	m	n/a	s	emphatic	n/a	n/a
38	2	D>BWN	D^@>B#UWN	0	0	0	0	1	c/n/a	1	p	suffix	2	m	n/a	s	emphatic	n/a	n/a
39	2	D>BJ	D^A>B#J	0	0	0	0	1	c/n/a	1	s/n/a	suffix	2	m	n/a	s	emphatic	n/a	n/a
40	2	DL>B>	D^L@>B#A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	8	m	n/a	s	emphatic	n/a	n/a
41	2	DL>BHJHWN	D^L@>B#AH@JHUWN	1	0	0	0	1	m	3	p	suffix	8	m	n/a	p	emphatic	n/a	n/a
42	2	W>B>	W@>B#A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	n/a	s	emphatic	n/a	n/a
43	2	W>BHT>	W@>B#AHAT#A>	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	n/a	p	emphatic	n/a	n/a
44	2	W>BHTN	W@>B#AHAT#@N	1	0	0	0	1	c/n/a	1	p	suffix	3	m	n/a	p	emphatic	n/a	n/a
45	2	W>BWHJ	W@>B#UWH#_J	0	0	0	0	1	m	3	s/n/a	suffix	3	m	n/a	s	emphatic	n/a	n/a
46	2	W>BWK	W@>B#UWK#	0	0	0	0	1	m	2	s/n/a	suffix	3	m	n/a	s	emphatic	n/a	n/a
47	2	W>BWKWN	W@>B#UWK#UWN	0	0	0	0	1	m	2	p	suffix	3	m	n/a	s	emphatic	n/a	n/a
48	2	W>BJ	WA>B#J	0	0	0	0	1	c/n/a	1	s/n/a	suffix	3	m	n/a	s	emphatic	n/a	n/a
49	2	WL>B>	WL@>B#A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	11	m	n/a	s	emphatic	n/a	n/a
50	2	WL>BWH	WL@>B#UWH	0	0	0	0	1	f	3	s/n/a	suffix	11	m	n/a	s	emphatic	n/a	n/a
51	2	WL>BWHWN	WL@>B#UWHUWN	0	0	0	0	1	m	3	p	suffix	11	m	n/a	s	emphatic	n/a	n/a
52	2	L>B>	L@>B#A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	4	m	n/a	s	emphatic	n/a	n/a
53	2	L>BH>	L@>B#AHE>	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	4	m	n/a	p	emphatic	n/a	n/a
54	2	L>BHWHJ	L@>B#AH@WH#_J	1	0	0	0	1	m	3	s/n/a	suffix	4	m	n/a	p	emphatic	n/a	n/a
55	2	L>BHJHWN	L@>B#AH@JHUWN	1	0	0	0	1	m	3	p	suffix	4	m	n/a	p	emphatic	n/a	n/a
56	2	L>BHJKWN	L@>B#AH@JK^UWN	1	0	0	0	1	m	2	p	suffix	4	m	n/a	p	emphatic	n/a	n/a
57	2	L>BHTN	L@>B#AHAT#@N	1	0	0	0	1	c/n/a	1	p	suffix	4	m	n/a	p	emphatic	n/a	n/a
58	2	L>BWH	L@>B#UWH	0	0	0	0	1	f	3	s/n/a	suffix	4	m	n/a	s	emphatic	n/a	n/a
59	2	L>BWHJ	L@>B#UWH#_J	0	0	0	0	1	m	3	s/n/a	suffix	4	m	n/a	s	emphatic	n/a	n/a
60	2	L>BWHJN	L@>B#UWHEJN	0	0	0	0	1	f	3	p	suffix	4	m	n/a	s	emphatic	n/a	n/a
61	2	L>BWK	L@>B#UWK#	0	0	0	0	1	m	2	s/n/a	suffix	4	m	n/a	s	emphatic	n/a	n/a
62	2	L>BWKWN	L@>B#UWK#UWN	0	0	0	0	1	m	2	p	suffix	4	m	n/a	s	emphatic	n/a	n/a
63	2	L>BWN	L@>B#UWN	0	0	0	0	1	c/n/a	1	p	suffix	4	m	n/a	s	emphatic	n/a	n/a
64	2	L>BJ	LA>B#J	0	0	0	0	1	c/n/a	1	s/n/a	suffix	4	m	n/a	s	emphatic	n/a	n/a
65	3	>BHWT>	>@B#AHUWT#A>	0	0	0	1	1	c/n/a	n/a	s/n/a	n/a	0	f	n/a	s	emphatic	n/a	n/a
66	4	>BHWN	>EB^HUWN	0	0	0	0	1	m	3	p	suffix	0	m	n/a	s	emphatic	n/a	n/a
67	4	W>BKJ	WE>B^EK#J	0	0	0	0	1	f	2	s/n/a	suffix	3	m	n/a	s	emphatic	n/a	n/a
68	4	>B>	>EB^A>	0	0	0	1	2	c/n/a	n/a	s/n/a	n/a	0	m	n/a	s	emphatic	n/a	n/a
69	5	>BD	>AB#ED#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	3	s	n/a	active_participle	peal
70	5	>BD	>EB#@D#	0	0	0	1	2	c/n/a	n/a	s/n/a	n/a	0	m	3	s	n/a	perfect	peal
71	5	>BD>	>AB#D^A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	f	3	s	n/a	active_participle	peal
72	5	>BDW	>EB#@D#W	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	3	p	n/a	perfect	peal
73	5	>BDJN	>AB#D^IJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	3	p	n/a	active_participle	peal
74	5	>BDJNN	>AB#D^IJN@N	0	0	0	0	1	c/n/a	1	p	contraction	0	m	1	p	n/a	active_participle	peal
75	5	>BDN	>AB#D^AN	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	f	3	p	n/a	active_participle	peal
76	5	>BDT	>EB#D^@T#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	f	3	s	n/a	perfect	peal
77	5	>WBD	>@WB^ED#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	3	s	n/a	perfect	aphel
78	5	>WBD	>@WB^ED#	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	0	c	1	s	n/a	imperfect	aphel
79	5	>WBDT	>@WB^D#ET#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	c	1	s	n/a	perfect	aphel
80	5	D>BD	D^E>B#@D#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	3	s	n/a	perfect	peal
81	5	D>BD>	D^A>B#D^A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	f	3	s	n/a	active_participle	peal
82	5	D>BDW	D^E>B#@D#W	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	3	p	n/a	perfect	peal
83	5	D>BDJN	D^A>B#D^IJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	3	p	n/a	active_participle	peal
84	5	D>WBD	D^@>WB^ED#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	c	1	s	n/a	imperfect	aphel
85	5	DN>BD	D^NI>B#@D#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	3	s	n/a	imperfect	peal
86	5	DNWBD	D^N@WB^ED#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	3	s	n/a	imperfect	aphel
87	5	DNWBDWN	D^N@WB^D#UWN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	3	p	n/a	imperfect	aphel
