lexeme	seyame	word_type	grammatical_category	rest	first_suffix	second_suffix	third_suffix	prefix	first_vowel	second_vowel	third_vowel	fourth_vowel	num_vowels	radical_type	verbal_conjugation	root	root_seyame	root_type	ety_language	ety_type	ety_rest
>>R	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>>R	0	normal	greek	normal	0
>B>	0	normal	noun	0	n/a	n/a	n/a	n/a	a	o	n/a	n/a	2	bi	n/a	>B	0	normal			
>BHWT>	0	normal	noun	0	n/a	n/a	uOToA	n/a	a	o	n/a	n/a	2	bi	n/a	>B	0	normal			
>B>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>B>	0	parethesied			
>BD	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>BD	0	normal			
>BDN>	0	normal	noun	0	oNoA	n/a	n/a	n/a	a	n/a	n/a	n/a	1	tri	peal	>BD	0	normal			
>BJD>	0	normal	participle_adjective	0	n/a	n/a	n/a	n/a	a	i	n/a	n/a	2	tri	peal	>BD	0	normal			
>BWB>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>BWB>	0	parethesied			
>BJ>	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>BJ>	0	normal			
>BJ>	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>BJ>	0	normal			
>BJWD	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>BJWD	0	normal			
>BJLJN>	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>BJLJN>	0	normal			
>BJTR	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>BJTR	0	normal			
>BJL>	0	normal	participle_adjective	0	n/a	n/a	n/a	n/a	a	i	n/a	n/a	2	tri	peal	>BL	0	normal			
>BL	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>BL	0	normal			
>BL>	0	normal	noun	0	n/a	n/a	n/a	n/a	e	n/a	n/a	n/a	1	tri	peal	>BL	0	normal			
>BN>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>BN>	0	parethesied			
>BRHM	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>BRHM	0	normal			
>GBWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>GBWS	0	normal			
>GWN>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>GWN>	0	bracketed	greek	normal	0
>GWSVWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>GWSVWS	0	normal			
>GWRS>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>GWRS>	0	bracketed	greek	normal	0
>GN>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>GN>	0	parethesied			
