no. MS;No.;Pericope;Intro;Intro.Remarks;Intro.Transl;Thales;Thales ID;Intro.Fol.A;;Intro.Col.A;Intro.Line.A;Intro.Fol.Z;Intro.Col.Z;Intro.Line.Z;Taksa;Taksa.Trans;Taksa.Remarks;Transl.remarks;Taksa.Fol.A;Taksa.Col.A;Taksa.Line.A;Taksa.Fol.Z;Taksa.Col.Z;Taksa.Line.Z;Taksa.Remarks;Siglum;Siglum;Link;Link;MS-List.link;Pericope.Fol.A;Pericope.Col.A;Pericope.Line.A;Pericope.Fol.Z;Pericope.Col.Z;Pericope.Line.Z;Cross reference (corpus) [to be filled in aut.];Remarks Cross reference (corpus);Abbreviation;Version;Version.Remarks;Version.Syriac;Version.Transl;Denomination;Literature;Literature.link;Codicology;Pericope.remarks;Ref.remarks.;Cross.ref.Lect;Transl.Cross.ref.;Addition before;Addition after;Addition.Fol.A;Addition.Col.A;Addition.Line.A;Addition.Fol.Z;Addition.Col.Z;Addition.Line.Z;Ref.Bible.MS;Other Remarks;Words.Margin;no. reading Dissertation K.D. Jenner;;Structure formula 1;Structure formula 2;Structure formula 3;Structure formula 4;Structure formula 5;Title lectionary MS;fol;col;line;fol;col;Line;Remarks on title
73;073-0265;Acts#08:05-13.;‎‏ܦܪܟܣܝܣ‏‎;;Acts;;;161b;;2;19;161b;2;19;‎‏ܬܘܒ ܛܟܣܐ ܥܠ ܚܕ̈ܒܫܒܐ ܐܚܪ̈ܢܐ ܬܡ̈ܢܝܐ ܕܩܝܡܬܐ ܡܫܲܒܚܬܐ‏‎;Furthermore, the order on Last First (Day) of the Week, the Eighth, of the praiseworthy Resurrection;subrubr ‎‏ܛܟܣܐ ܩܕܡܝܐ ܕܩܝܡܬܐ ܡܲܐܚܝܢܝܬܐ‏‎ (12-13 - after a blank line) (The First Order of the live-giving Resurrection);The First Order of the live-giving Resurrection;159b;1.;1.;159b;1.;11.;;16l1;16l01;https://archive.org/stream/SMC1.1/SMC%201.1#page/n165/mode/1up;https://archive.org/stream/SMC1.1/SMC%201.1#page/n165/mode/1up;16l01;161b;2;19;162b;1;4;;;;P;;;;J;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;045-0145;1Sm#16:01-13a.;ܡܢ ܫܡܘܐܝܠ ܢܒܝܐ;;From Samuel the Prophet;;;052b;;2;11;052b;2;11.;‎‏ܩܪ̈ܝܢܐ ܕܬܫܡܫܬܐ ܪܒܐ ܕܩܘܕܫ ܡ̇ܘܪܘܢ.‏‎;readings of the Great Service of the Consecration of the Myron;;;052a;2;20;052a;2;21;;(?/)9l6;09l06;;;09l06;052b;2;11;053a;2;8;;;;P;;;;J;;;a later, but unidentified hand retraced parts of the original text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;045-0146;Ct#01:02-14.;ܡܢ ܬܫܒܚܬ ܬܫ܏ܒܚ;;From the Song of Songs;;;053a;;2;8;053a;2;8.;‎‏ܩܪ̈ܝܢܐ ܕܬܫܡܫܬܐ ܪܒܐ ܕܩܘܕܫ ܡ̇ܘܪܘܢ.‏‎;readings of the Great Service of the Consecration of the Myron;;;052a;2;20;052a;2;21;;(?/)9l6;09l06;;;09l06;053a;2;8;053b;1;12;;;;P;;;;J;;;a later, but unidentified hand retraced parts of the original text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;045-0128;Jd#05:01-11.;ܡܢ ܟܬܒܐ ܕܫ̈ܒܛܐ;;From the Book of the Tribes;;;047b;;1;22;047b;1;22.;‎‏ܩܪ̈ܝܢܐ ܕܨܦܪܐ ܕܝܠܗ ܕܚܕ܏ܒܫ ܕܐܘܫ̈ܥܢܐ:‏‎;readings of the very Morning of the First (Day) of the Week, of the Hosannas;;;046b;2;18;046b;2;19;;(?/)9l6;09l06;;;09l06;047b;1;22;048a;1;1;;;;P;;;;J;;;a later, but unidentified hand retraced parts of the original text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;042-0021;Ex#03:01-10.;ܡܦܩܢܐ ܣܦܪܐ ܕܬܪ̈ܝܢ ܕܐܘܪܝܬܐ:;;Exodus, the Second Book of the Law;;;008b;;0;11;008b;0;12;‎‏ܬܘܒ. ܩܪܝܢܐ: ܒܕܘܟܪܢܐ. ܕܝ̇ܠܬ ܐ̇ܠܗܐ. ܘܒܬܘܠܬ. ܒܟܠܙܒܢ: ܡ݊ܪܝ݊ܡ݊܀ ‏‎;Furthermore, a reading for the Commemoration of Mary the God-Bearer, and the Everlasting Virgin;;;008b;0;10;008b;0;11;;(11)/9l3;09l03;;;09l03;008b;0;11;009a;2;3;;;;P;;;;J;;;Ex>03:01-04(ܓܘ) = 11/9l3, Ex>03:04(ܣܢܝܐ)-10. = 9l3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;041-0002;1Sm#01:09-19a.(‎‏ܠܪܡܬܐ‏‎);ܫܡܘܐܝܠ ܒܨ ܩܕܡܝܐ;;Samuel, in the First Section;;;002b;;2;12;002b;2;12.;ܩܕܡܝܬ ܕܥܠ ܣܘܒܪܗ ܕܙܟܪܝܐ.;First, on the Annunciation of Zechariah;;;002b;1;4;002b;1;5;;(11/)9l2;09l02;;;09l02;002b;2;12;003a;1;17;;;;P;;;;J;;;fol 3 = 11/9l2, 1Sm 1:11(ܥܠ ܪܝܫܗ)-Jd 13:12(ܠܝ);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;041-0019;Nm#17:16-26.;ܡܢܝܢܐ.;;Numbers;;;007b;;2;14;007b;2;14.;‎‏ܬܘܒ ܩܪ̈ܝܢܐ ܒܕܘܟܪܢܐ ܕܝܠܕܬ ܐܠܗܐ:‏‎;Furthermore, readings for the Commemoration of the God-Bearer;;;007b;2;13;007b;2;14;;(11/)9l2;09l02;;;09l02;007b;2;14;008a;‎‏0‏‎;16;;;;P;;;;J;;; 9L2= 17:16-19=‎‏ܠܟܘܢ‏‎ and 11/9L2= 17:19=‎‏ܬܡܢ‏‎-26 ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;041-0003;Jd#13:02-14.;+ ܩܖܝܢܐ ܕܡܢ ܟܬܒܐ ܕܫ̈ܒܛܐ.:;;Reading, from the Book of Tribes;;;003b;;0;1;003b;1;1;ܕܣܘܒܪܗ ܕܝܠܕܬ ܐܠܗܐ.;of the Annunciation of the God-Bearer;;;003b;mg;mg;003b;mg;mg;;(11/)9l2;09l02;;;09l02;003b;0;1;004a;1;11.;;;;P;;.+ ܕܫ̈ܒܛܐ;;J;;;fol 3 = 11/9l2, 1Sm 1:11(ܥܠ ܪܝܫܗ)-Jd 13:12(ܠܝ);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;041-0021;‎2Cor#03:12-04:04.;‎‏ܦܐܘܠܘܣ: ܫܠܝܚܐ. ܐܓܪܬܐ ܕܩܘܪ̈ܢܬܝܐ ܕܬܪ̈ܬܝܢ;;Paul the Apostle, from the Second Epistle to the Corinthians;;;008b;;0;19;009a;2;11.;ܩܪ. ܒܕܘܟܪܢܗ̇ ܕܝܠܕܬ ܐ̇ܠܗܐ:;Reading, for the Commemoration of the God-Bearer;this is a repetition of the rubric (11/9l2);;008b;0;18;008b;0;19;;(11/)9l2;09l02;;;09l02;008b;0;19;009a;2;11.;;;;P;;;;J;;;" fol 8 is in a later hand (XI c.; 1 col 26/27 l.);  fol 8 ends with 2Cor 3:14(‎‏ܐܡܬܝ‏‎) ";;;;;ܐܚ̈ܝ;;;;;;;;;;;;;;;;;;;;;;;;;
42;042-0004;Gn#12:07-08.+18:01-15.;untitled;;N.A.;;;N.A.;;N.A.;N.A.;N.A.;N.A.;N.A.;‎‏ܩܪܝܢܐ ܕܣܘܒܪܗ̇ ܕܥܠܕܬ ܐܠܗܐ ܡܪܝܡ̇;Reading, of the Annunciation of Mary the God-Bearer;;;001b;1;1;001b;1;2.;;(11/)9l3;09l03;;;09l03;002b;1;1;003a;1;26;;;;P;;;;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
