	ܩܫܝܫ	http://syriaca.org/person/2032
The 72 Disciples	[Syriac Not Available]	http://syriaca.org/person/1688
Aaron	ܐܗܪܘܢ	http://syriaca.org/person/1534
Aaron	ܐܗܪܘܢ	http://syriaca.org/person/1533
Aaron of Alexandria	ܐܪܘܢ	http://syriaca.org/person/1773
Aaron of Serugh	ܐܗܪܘܢ	http://syriaca.org/person/1092
Aaron the Solitary	[Syriac Not Available]	http://syriaca.org/person/1535
Abai	[Syriac Not Available]	http://syriaca.org/person/1093
Aba I, catholicos	ܐܒܐ ܩܕܡܝܐ	http://syriaca.org/person/306
Abai of Hah	[Syriac Not Available]	http://syriaca.org/person/1095
Aba of Nineveh	ܐܒܐ	http://syriaca.org/person/1094
ʿAbda	ܥܒܕܐ	http://syriaca.org/person/1099
ʿAbda	[Syriac Not Available]	http://syriaca.org/person/1096
ʿAbda	ܥܒܕܐ	http://syriaca.org/person/1097
ʿAbdachisia	[Syriac Not Available]	http://syriaca.org/person/1101
ʿAbdalʿaleq	ܥܒܕܐܠܥܠܩ	http://syriaca.org/person/1530
Abdat al-Ahad	[Syriac Not Available]	http://syriaca.org/person/1537
ʿAbdelmasih	ܥܒܕܐܠܡܣܝܚ	http://syriaca.org/person/1102
ʿAbdishoʿ	[Syriac Not Available]	http://syriaca.org/person/1144
ʿAbdishoʿ	ܥܒܕܝܫܘܥ	http://syriaca.org/person/1100
ʿAbdishoʿ	[Syriac Not Available]	http://syriaca.org/person/1143
ʿAbdishoʿ	[Syriac Not Available]	http://syriaca.org/person/3008
ʿAbdishoʿ	ܥܒܕܝܫܘܥ	http://syriaca.org/person/1538
ʿAbdishoʿ of Dasen	ܥܒܕܝܫܘܥ ܕܣܢܝܐ	http://syriaca.org/person/1539
ʿAbdon	[Syriac Not Available]	http://syriaca.org/person/1103
Abel	ܗܒܝܠ	http://syriaca.org/person/1540
Abel	[Syriac Not Available]	http://syriaca.org/person/1104
Abel of Adiabene	ܗܒܝܠ	http://syriaca.org/person/1541
AbgarVUkkamathe Black	ܐܒܓܪ	http://syriaca.org/person/2823
Abhai	ܐܒܚܝ	http://syriaca.org/person/1105
Abi	ܐܒܝ	http://syriaca.org/person/1536
Abi	[Syriac Not Available]	http://syriaca.org/person/1542
Abimelech	[Syriac Not Available]	http://syriaca.org/person/1106
Aboursam	ܐܒܘܪܣܡ	http://syriaca.org/person/1544
ʿAboushta of Adiabene	ܥܒܘܫܛܐ	http://syriaca.org/person/1545
Abraham	ܐܒܪܗܡ	http://syriaca.org/person/1546
Abraham	ܐܒܪܗܡ	http://syriaca.org/person/1548
Abraham	ܐܒܪܗܡ	http://syriaca.org/person/1110
Abraham	[Syriac Not Available]	http://syriaca.org/person/1107
Abraham	ܐܒܪܗܡ	http://syriaca.org/person/1547
Abraham, bishop of Arbela	ܐܒܪܗܡ	http://syriaca.org/person/1108
Abraham II of Adiabene	ܐܒܪܗܡ	http://syriaca.org/person/1552
Abraham of Adiabene	ܐܒܪܗܡ	http://syriaca.org/person/1551
Abraham of Beth Sayyare	[Syriac Not Available]	http://syriaca.org/person/1111
Abraham of Harran	ܐܒܪܗܡ	http://syriaca.org/person/1549
