"","V1"
"1Chronicles",22
"1Kings",17
"1Maccabees_A",20
"1Maccabees_B",20
"1Samuel",22
"2Chronicles",22
"2Kings",17
"2Maccabees",20
"2Samuel",22
"3Esdras",22
"3Maccabees",22
"4Esdras",18
"4Maccabees",18
"Amos",22
"Apocalypse_of_Baruch",18
"Apocryphal_Psalms",22
"Apocryphal_Psalms_A",22
"Apocryphal_Psalms_B",22
"Baruch",22
"Bel_and_the_Dragon",22
"Daniel",22
"Deuteronomy",22
"Ecclesiastes",22
"Esther",22
"Exodus",22
"Ezekiel",22
"Ezra",22
"Genesis",22
"Habakkuk",22
"Haggai",22
"Hosea",22
"Isaiah",22
"Jeremiah",22
"Job",22
"Joel",22
"Jonah",22
"Joshua",21
"Judges",22
"Judith",22
"Lamentations",22
"LDAGibbs 40 DocsToTopics.csv",3
"LDAGibbs 40 TopicProbabilities.csv",31
"LDAGibbs 40 TopicsToTerms.csv",2
"LDAGibbs 5 DocsToTopics.csv",3
"LDAGibbs 5 TopicProbabilities.csv",11
"LDAGibbs 5 TopicsToTerms.csv",22
"Letter_of_Baruch_A",18
"Letter_of_Baruch_B",18
"Letter_of_Jeremiah",22
"Leviticus",15
"Malachi",22
"Micah",22
"Nahum",22
"Nehemia",22
"Numbers",22
"Obadiah",22
"Odes",22
"Prayer_of_Manasseh_A",22
"Prayer_of_Manasseh_B",22
"Proverbs",4
"Psalms",22
"Psalms_of_Solomon",22
"Ruth",22
"Sirach",22
"Song_of_Songs",5
"Susanna",22
"Tobit_A",22
"Tobit_B",22
"Wisdom_of_Solomon",22
"word_freq.csv",30
"Zechariah",22
"Zephaniah",22
