"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40"
"1","wnhpk","whj","psalms","xkmt","ddj","bjmlk","mqvl","tjbwt","djlh","wnhw","ttb","154","dwjd","mwc","khn","jwb","mlk","djn","wcjhwn","hww","jsrjl","verse","mrx","qwb","lhk","tcbwxth","prjm","vrwn","ybt","wqrb","0108695652173913","dnj","lprn","mrj","119","stjr","dcwjn","mnth","zmj","hkn"
"2","117","brh","baruch","bjc","klt","bnjmjn","xmth","jkw","djlk","qwb","bqvm","155","jsrjl","hrwn","hrwn","mnw","jsrjl","gjr","bvwcj","djn","mwc","mrj","djnt","brhm","mrj","ljtj","jwmt","dxlt","128","qvm","00555555555555556","hjdjn","jhwdjt","xjltn","mrj","mwrdkj","ybjt","tvrp","rclm","jsrjl"
"3","klwnh","hww","apocryphal","xkjm","cpjrtj","cmcwn","nvc","njhjn","djlhwn","qdjc","rqdw","cwcn","mlk","lmwc","nhw","nwhr","dmrj","jljn","tybwn","mlk","jcw","mvl","wmdbr","jwsp","lhkwn","pwnq","wbvnt","mclv","wttjd","nbvlwn","00919117647058824","ldnj","wnp","wrclm","npcj","xcjrjc","xcxw","blkj","dxmcjn","brnc"
"4","dhjmnwt","hljn","letter","bjct","rxmt","dmdjn","hjhwn","dcmrjn","djlj","jkj","125","knwct","ldwjd","jsrjl","mwc","svn","wrclm","hww","wtv","sgj","dbn","nwn","dcnj","jsxq","jwmn","xmrhwn","znj","crr","181","134","00406137184115523","wrmrmwhj","dmdjnt","hkn","dnjk","hmn","wmrn","tmljn","zdj","mjn"
"5","101","wld","njxw","sgj","lddj","nptx","ldbb","mksj","hnwn","xzqj","jbw","152","gbr","ddhb","lmrj","xcwk","cljmwn","hljn","168","lhwn","cbv","lhwn","tqwl","wld","lkwn","160","wrxmw","dmclv","wcm","wlxjbwt","00225631768953069","nbwkdnyr","wzj","djhwd","lhj","151","xwjt","rgthwn","ddx","dbjt"
"6","bbsrh","wbn","1maccabees","ntt","qrjbtj","mjk","lmqvlh","rxmwt","djln","twrj","jrw","153","cmw","dmckn","mrj","xsjn","djhwd","hkjl","cnjn","jhwd","gwr","qdm","qwrc","bwhj","jkwn","brjchwn","rwrbn","dmvl","nvrwn","skn","00213675213675214","cbxwhj","xjwd","rmj","ldbbj","lmwrdkj","krjh","tqrwn","bzdjqwt","ptgmh"
"7","lxwsrn","srjn","jeremiah","gjr","dslq","mwn","nxj","lybw","wrjclm","zdjqwt","mtnyb","dcwcn","bclwm","dmyrjn","lkwn","lsvn","dbjt","sgj","dbjwm","jljn","qwr","dmrj","wjwtrn","brm","dmpqd","dnwblwnh","wrxth","dvrwn","dbxd","jyt","00434027777777778","rkw","ptg","mlk","lmrj","mlkt","dmgn","252","wwn","ljkj"
"8","jbwtk","dwjd","manasseh","skl","wzjl","bwh","rxm","bcwjt","hwjt","ljkj","dmcjxwth","djwjqjm","whw","rgwn","qwrbn","jnj","lmlk","mdm","dnbj","jwntn","lcr","wmn","dmtqn","xwhj","pwq","jlwn","174","dbjd","lbbwhj","lml","00586642599277978","dnwr","dvw","dbbl","jljn","bjrt","mxbl","btr","dtcbw","wnd"
"9","bjd","whljn","prayer","zdjq","gzr","dqrjt","wjhbw","dcwbhr","wkd","jqrh","kwbc","qcj","mrw","dpq","xvh","ljpz","jhwd","hwt","ldn","wrclm","crbt","jsrjl","hpk","ntth","rth","qrbtn","rxmj","wjtj","wnw","ltjmn","000134945482025262","twn","plw","ptgmh","106","bjrx","bht","nvwr","mvlhn","lkj"
"10","dgwljd","dbjt","solomon","brj","lbnn","dckjm","wnrqdwn","sqtk","vwbj","mcql","wnxwrwn","dprdjs","plc","mrj","nwhj","zkj","dmlk","nwn","wljrmn","wkd","lkwn","gbr","lmcbq","cmh","djm","wjwcj","sgjw","dcb","dwkrn","lxjn","00025360113613309","lmrj","rsh","dmrj","105","jhw","bqjs","wzb","bsw","djn"
