"","x"
"verse",31444
"mrj",4917
"mvl",3989
"nwn",3029
"jsrjl",2632
"mlk",2090
"lhwn",1993
"djn",1949
"dmrj",1932
"qdm",1730
"hww",1540
"whj",1525
"gbr",1519
"hljn",1412
"wmn",1409
"hkn",1175
"klhwn",1114
"bjt",1092
"jwm",1085
"jljn",1005
"lwt",973
"lmrj",940
"gjr",922
"klh",898
"wrclm",838
"lwhj",794
"whw",786
"njn",784
"tmn",780
"jhwn",754
"lkwn",742
"btr",731
"ntwn",717
"sgj",700
"mdm",689
"dbjt",675
"wkd",657
"nhw",652
"dwjd",650
"dmn",605
"bjwm",585
"ljhwn",567
"tjn",564
"hwn",558
"djhwd",551
"jhwd",544
"mwc",540
"ntt",528
"ljn",513
"hwt",510
"mrw",495
"twb",481
"wbn",472
"wkl",471
"clm",470
"wrx",454
"mnh",452
"bdw",451
"mnhwn",448
"qjm",437
"kwl",427
"qwb",427
"mwr",413
"lbjt",407
"bhwn",406
"dbn",404
"mrt",401
"khn",400
"xjl",394
"hnwn",387
"lpjn",387
"twr",385
"qwr",384
"brh",380
"jdh",380
"mjn",380
"cmj",379
"wcm",379
"bwhj",377
"hrwn",374
"jkn",371
"dmlk",366
"xjltn",365
"dwhj",361
"wljt",355
"klhjn",354
"wtr",354
"bjct",350
"zbn",344
"wklh",343
"ljt",341
"ptgm",341
"lhk",336
"dmyrjn",335
"mrjn",324
"lbn",321
"nwhj",321
"qdmj",319
"tlt",319
"qrb",315
"vwr",313
"wklhwn",308
"zlw",308
"jsr",305
"bjc",304
"wnhw",304
"lhn",300
"mnw",298
"xnn",297
"qdmjk",296
"cmh",291
"mhwn",291
"rbt",290
"jdj",288
"cjn",277
"wcdr",277
"qdmwhj",276
"thw",275
"xwhj",275
"lwth",274
"bdwn",272
"nmws",270
"rmj",270
"ddhb",268
"mvwl",264
"jwmn",263
"npc",263
"ljh",260
"bnj",259
"dljt",259
"lklhwn",257
"rjn",257
"lmlk",256
"wrbn",255
"mlt",254
"hwjt",249
"mdbx",249
"mdjnt",247
"nwr",246
"nbj",244
"bdjn",243
"dlm",242
"ljk",242
"xzw",241
"bdt",238
"lwtj",238
"brt",236
"jkwn",230
"dtr",228
"kxd",228
"dwm",227
